序号,课程号,课程名称,开课单位,课程类型,班号,学分,起止周,上课时间,教师,备注
2496,6239086,计量经济学,国家发展研究院,专业必修,3,3,1-16,星期五(第10节-第11节),易君健,周五10-12三节连上，与《计量经济学（荣誉课）》06239148互斥
2497,6239130,中级宏观经济学习题课,国家发展研究院,专业必修,3,0,1-16,星期三(第5节-第6节)(双),李林橦,3班习题课
2498,6239131,中级微观经济学习题课,国家发展研究院,专业必修,3,0,1-16,星期一(第5节-第6节)(单),邢剑炜,3班习题课
2499,6239132,计量经济学习题课,国家发展研究院,专业必修,3,0,1-16,星期六(第5节-第6节),易君健,3班习题课
2500,60730020,军事理论,学生工作部人民武装部,军事理论,3,2,1-16,星期三(第3节-第4节),王欣涛 张烨,
2501,130202,高等数学 (B) (二),数学科学学院,专业必修,4,5,1-16,星期二(第1节-第2节) 星期五(第3节-第4节),楚健春,
2502,130212,高等数学 (B) (二)习题课,数学科学学院,专业必修,4,0,1-16,星期二(第10节-第11节),唐林,
2503,131470,线性代数 (B)习题,数学科学学院,专业必修,4,0,1-16,星期一(第10节-第11节)(双),刘旭峰,
2504,132332,高等代数（II）习题,数学科学学院,专业必修,4,0,1-16,星期四(第10节-第11节)(双),李文威,
2505,132512,高等数学A（二）,数学科学学院,专业必修,4,5,1-16,星期二(第1节-第2节) 星期四(第3节-第4节),吴金彪,
2506,132712,高等数学A（二）习题,数学科学学院,专业必修,4,0,1-16,星期三(第10节-第11节),王冠香,
2507,132812,线性代数 A（ II ）习题,数学科学学院,专业必修,4,0,1-16,星期一(第10节-第11节)(双),丁一文,
2508,331762,数学分析 (二)习题课,工学院,专业必修,4,0,1-16,星期三(第10节-第11节),史一蓬,24级4班
2509,430133,现代电子电路基础及实验 (二),物理学院,专业必修,4,2,1-16,星期一(第9节-第12节),任全胜 高崧,选课后第一周上课时间段到理科2号楼2259E上绪论大课
2510,431121,普通物理,医学部教学办,专业必修,4,4,1-16,星期二(第3节-第4节) 星期五(第1节-第2节),王平,需要理教一层教室
2511,431132,普通物理 (I),工学院,专业必修,4,4,1-16,星期一(第1节-第2节) 星期四(第3节-第4节),李湘庆,理教1层 大一全体
2512,431142,热学,物理学院,专业必修,4,2,1-16,星期三(第7节-第8节),曲波,地空、工学院等同学优先
2513,431143,电磁学,信息科学技术学院,专业必修,4,3,1-16,星期二(第3节-第4节) 星期四(第5节-第6节),侯士敏,含习题课
2514,431149,光学讨论班,物理学院,专业必修,4,2,1-16,星期五(第10节-第11节),许秀来,排讨论教室
2515,431165,近代物理,信息科学技术学院,专业必修,4,3,1-16,星期三(第5节-第6节)(双) 星期五(第3节-第4节),叶安培,
2516,431254,热学习题课,物理学院,专业必修,4,0,1-16,星期一(第10节-第11节)(单),穆良柱,
2517,431255,电磁学习题课,物理学院,专业必修,4,0,1-16,星期一(第10节-第11节)(双),沈波,4学分电磁学习题班
2518,431641,量子力学讨论班,物理学院,专业必修,4,2,1-16,星期三(第5节-第6节),孟杰,排讨论教室
2519,431651,平衡态统计物理讨论班,物理学院,专业必修,4,2,1-16,星期一(第5节-第6节),杨志成,排讨论教室
2520,431680,普通物理习题课,生命科学学院,专业必修,4,0,1-16,星期四(第10节-第11节),周辰,
2521,432119,数学物理方法习题课,物理学院,专业必修,4,0,1-16,星期二(第10节-第11节),高春媛,
2522,433327,近代物理实验 (I),物理学院,专业必修,4,3,1-16,星期三(第5节-第12节),黄斐增,开学前按pec.pku.edu.cn通知选实验
2523,433328,近代物理实验 (II),物理学院,专业必修,4,3,1-16,星期三(第5节-第12节),王常生,已修近(I)，按通知 pec.pku.edu.cn选实验
2524,437190,普通物理实验（2）,物理学院,专业必修,4,3,1-16,,李智 王伟,仅限手工选课，竞赛免修
2525,1030810,有机化学 (B),医学部教学办,专业必修,4,4,1-16,星期一(第3节-第4节) 星期四(第1节-第2节),刘允,预防12
2526,1032711,有机化学实验 (B),医学部教学办,专业必修,4,2,9-16,星期四(第3节-第9节),王婕妤,临179
2527,1035170,结构化学讨论班,化学与分子工程学院,专业必修,4,0,3-16,星期二(第10节-第11节)(单),刘岩,模型课周六9:00-12:00
2528,1132022,遗传学讨论,生命科学学院,专业必修,4,2,1-16,星期四(第10节-第12节),邓伍兰,连排3节，生信必修
2529,1139500,生理学实验,生命科学学院,专业必修,4,1.5,2-16,星期五(第5节-第8节),周辰 侯婷婷,生科必修，东配楼320/321，请同时选修生理学的理论课程
2530,2034432,古代汉语（下）,中国语言文学系,专业必修,4,5,1-16,星期三(第10节-第11节),雷瑭洵,小班课
2531,2330004,哲学导论讨论课,哲学系,专业必修,4,0,1-16,星期四(第10节-第10节),GREVESEBASTIAN,
2532,2330097,中国哲学（下）讨论课,哲学系,专业必修,4,0,1-16,星期五(第5节-第6节)(单),杨立华 王鑫,
2533,2330107,马克思主义哲学史（上）讨论班,哲学系,专业必修,4,0,1-16,星期五(第1节-第2节)(双),聂锦芳,
2534,2330163,宗教学导论讨论课,哲学系,专业必修,4,0,1-16,星期三(第12节-第12节),吴飞,
2535,2332977,《理想国》讨论班,哲学系,通选课,4,0,1-16,星期四(第12节-第12节),吴增定,
2536,2533171,经济学原理(Ⅱ)讨论课,经济学院,专业必修,4,0,1-16,星期三(第10节-第10节),李博,
2537,2930112,刑法案例研习,法学院,专业限选,4,3,1-16,星期二(第7节-第8节),车浩 吴雨豪,小班讨论 勿选 改7-9
2538,2930167,民事诉讼案例研习,法学院,专业任选,4,3,1-16,星期二(第7节-第8节),刘哲玮 曹志勋,小班讨论 勿选 改7-9
2539,3835130,学术英语听说,英语语言文学系,大学英语,4,2,1-16,星期四(第3节-第4节),刘红中,文史楼314
2540,3835270,英语词汇与英美文化,英语语言文学系,大学英语,4,2,1-16,星期三(第7节-第8节),王静文,
2541,3835390,文艺复兴艺术作品与圣经故事,英语语言文学系,大学英语,4,2,1-16,星期二(第7节-第8节),刘小侠,
2542,3835543,英语阅读,英语语言文学系,大学英语,4,2,1-16,星期二(第3节-第4节),张敏,文史楼304
2543,3835544,学术英语写作,英语语言文学系,大学英语,4,2,1-16,星期四(第1节-第2节),方艳,
2544,3835551,高级英语听说,英语语言文学系,大学英语,4,2,1-16,星期四(第7节-第8节),冯利,文史楼314
2545,3835552,英语听说,英语语言文学系,大学英语,4,2,1-16,星期一(第1节-第2节),闻钧,文史楼306
2546,3835660,影视中的英美文化,英语语言文学系,大学英语,4,2,1-16,星期三(第7节-第8节),宋海波,文史楼306
2547,3835730,美国文化概览,英语语言文学系,大学英语,4,2,1-16,星期三(第5节-第6节),马小琦 KAY SAWYER,
2548,3835760,高级英语阅读,英语语言文学系,大学英语,4,2,1-16,星期二(第3节-第4节),苏勇,文史楼309
2549,3835780,批判性思维与学术写作,英语语言文学系,大学英语,4,2,1-16,星期三(第7节-第8节),张欢瑞,
2550,3835800,实用基础英语写作,英语语言文学系,大学英语,4,2,1-16,星期三(第3节-第4节),董欣,
2551,3835830,西方文化选读,英语语言文学系,大学英语,4,2,1-16,星期三(第3节-第4节),刘瑾,文史楼314
2552,3835860,英语公众演讲,英语语言文学系,大学英语,4,2,1-16,星期三(第3节-第4节),马小琦 David Marshall,
2553,3835890,汉英翻译理论与实践,英语语言文学系,大学英语,4,2,1-16,星期四(第7节-第8节),余苏凌,文史楼307
2554,3835950,高级英语口语,英语语言文学系,大学英语,4,2,1-16,星期三(第7节-第8节),马小琦 Karen Siggins,
2555,3835961,今日科技英语,英语语言文学系,大学英语,4,2,1-16,星期四(第3节-第4节),田剪秋,
2556,3835962,艺术英语阅读与表达,英语语言文学系,大学英语,4,2,1-16,星期二(第3节-第4节),张雁,
2557,3835971,英国现代诗歌,英语语言文学系,大学英语,4,2,1-16,星期三(第3节-第4节),梅申友,文史楼307
2558,3835975,19世纪英国女性作家经典作品选读,英语语言文学系,大学英语,4,2,1-16,星期四(第3节-第4节),卢炜,文史楼313
2559,3835984,英语创意表达-TED演讲视听说,英语语言文学系,大学英语,4,2,1-16,星期五(第3节-第4节),李莉春,文史楼301
2560,3835985,英语散文选读：16世纪至19世纪浪漫主义时期,英语语言文学系,大学英语,4,2,1-16,星期四(第3节-第4节),徐溯,文史楼301
2561,3835986,英语散文选读：19世纪维多利亚时期至20世纪,英语语言文学系,大学英语,4,2,1-16,星期四(第3节-第4节),马乃强,文史楼306
2562,3835987,英美短篇小说文本分析与鉴赏,英语语言文学系,大学英语,4,2,1-16,星期三(第7节-第8节),茆卫彤,文史楼307
2563,4031652,思想道德与法治,马克思主义学院,思想政治,4,3,1-16,星期二(第10节-第11节),邱华宇,
2564,4031661,中国近现代史纲要,马克思主义学院,思想政治,4,3,1-16,星期二(第5节-第6节),赵诺,
2565,4031731,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,思想政治,4,3,1-16,星期二(第10节-第11节),李亚伟 王聪聪 韩致宁,
2566,4031741,马克思主义基本原理,马克思主义学院,思想政治,4,3,1-16,星期二(第7节-第8节),李彬彬 黄俊立,
2567,4031762,习近平新时代中国特色社会主义思想概论,马克思主义学院,思想政治,4,3,1-16,星期一(第10节-第12节),张权 李洋 毕悦,
2568,4130020,游泳,体育教研部,体育,4,1,1-16,星期三(第7节-第8节),张展嘉,男生班   邱德拔B2游泳馆
2569,4130040,健美操,体育教研部,体育,4,1,1-16,星期四(第5节-第6节),袁睿超,女生班  地厅
2570,4130042,艺术体操,体育教研部,体育,4,1,1-16,星期二(第7节-第8节),伍迪,二体二层
2571,4130050,乒乓球,体育教研部,体育,4,1,1-16,星期五(第1节-第2节),闵东旭,邱德拔140   自带球拍
2572,4130060,羽毛球,体育教研部,体育,4,1,1-16,星期五(第3节-第4节),张亚谦,邱德拔羽毛球场   自带球拍和球
2573,4130070,网球,体育教研部,体育,4,1,1-16,星期二(第7节-第8节),吴昊,二体  网球场
2574,4130090,篮球,体育教研部,体育,4,1,1-16,星期二(第7节-第8节),花琳,女生班  二体篮球场
2575,4130100,排球,体育教研部,体育,4,1,1-16,星期一(第3节-第4节),梁辰,一体  排球馆
2576,4130120,体育舞蹈,体育教研部,体育,4,1,1-16,星期二(第3节-第4节),吴定锋,女生班 邱德拔146（讲授拉丁舞）
2577,4130126,体美,体育教研部,体育,4,1,1-16,星期三(第7节-第8节),秦朗,邱德拔146
2578,4130160,体适能,体育教研部,体育,4,1,1-16,星期一(第5节-第6节),赫忠慧,五四跑廊
2579,4130210,棒、垒球,体育教研部,体育,4,1,1-16,星期四(第7节-第8节),焦晨曦,一体
2580,4130290,击剑,体育教研部,体育,4,1,1-16,星期二(第5节-第6节),孙玉洁,邱德拔 B2击剑厅
2581,4130430,中华毽,体育教研部,体育,4,1,1-16,星期五(第1节-第2节),唐彦,一体
2582,4130440,瑜伽,体育教研部,体育,4,1,1-16,星期二(第3节-第4节),亓昕,邱德拔151
2583,4130550,国际象棋,体育教研部,体育,4,1,1-16,星期四(第3节-第4节),侯逸凡,
2584,4130630,汉字太极与养生课,体育教研部,体育,4,1,1-16,星期二(第7节-第8节),李朝斌,一体
2585,4130681,航空体育2,体育教研部,专业限选,4,1,1-16,星期四(第5节-第6节),李宁,空飞班  邱德拔健身房
2586,4130683,航空体育4,体育教研部,专业限选,4,1,1-16,星期三(第5节-第6节),邢衍安,空飞班  五四
2587,4830494,数据结构与算法上机,信息科学技术学院,理科生必修,4,0,1-16,星期五(第9节-第10节),王昭,C语言，5、6号机房
2588,4831420,数据结构与算法 (B),信息科学技术学院,理科生必修,4,3,1-16,星期二(第7节-第8节),王昭,连上3节，C语言，同时选04830494“数据结构与算法上机”4号班
2589,4831435,计算机实习,信息科学技术学院,文科生必修,4,0,1-16,星期四(第9节-第10节),郭炜,7号机房，“人工智能与计算思维”4班上机课
2590,4831750,程序设计实习,信息科学技术学院,专业必修,4,3,1-16,星期三(第3节-第4节) 星期五(第7节-第8节)(单),贾川民,与“程序设计实习（实验班）”、“软件设计实践”互斥
2591,4832580,算法设计与分析（研讨型小班）,信息科学技术学院,专业必修,4,0,1-16,星期五(第5节-第6节),蒋婷婷,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2592,4833790,电子学基础实验,信息科学技术学院,专业必修,4,2,1-16,,董明科,周五下午，理二2258
2593,4833800,电子系统基础训练,信息科学技术学院,专业必修,4,1,2-8,,周小计,第2-8周周三晚上6:00-9:30理科2号楼2258
2594,4834040,人工智能引论,信息科学技术学院,专业必修,4,3,1-16,星期一(第5节-第6节) 星期四(第7节-第8节)(单),梁一韬,与04835230“人工智能基础”互斥
2595,4834472,人工智能与计算思维,信息科学技术学院,文科生必修,4,3,1-16,星期一(第7节-第8节),郭炜,课程方向“金融、通用”，同时选04831435“计算机实习”4号班
2596,4834611,数字电路与系统设计(小班课),信息科学技术学院,专业必修,4,0,1-16,星期二(第10节-第11节),吕国成,
2597,4834671,集成电路器件讨论班,信息科学技术学院,专业必修,4,0,1-16,星期四(第10节-第11节),王金延,
2598,4834750,电子信息技术实践,信息科学技术学院,通选课,4,2,2-16,星期三(第10节-第12节),吕国成,理二2257
2599,4835230,人工智能基础,信息科学技术学院,专业必修,4,3,1-16,星期一(第5节-第6节) 星期四(第7节-第8节)(单),董豪,与04834040“人工智能引论”互斥
2600,60730020,军事理论,学生工作部人民武装部,军事理论,4,2,1-16,星期三(第7节-第8节),王欣涛 张烨,
2601,130202,高等数学 (B) (二),数学科学学院,专业必修,5,5,1-16,星期二(第1节-第2节) 星期五(第3节-第4节),王超,
2602,130212,高等数学 (B) (二)习题课,数学科学学院,专业必修,5,0,1-16,星期二(第10节-第11节),唐林,
2603,131470,线性代数 (B)习题,数学科学学院,专业必修,5,0,1-16,星期一(第10节-第11节)(双),刘旭峰,
2604,132312,数学分析 (II)习题,数学科学学院,专业必修,4,0,1-16,星期三(第10节-第11节),李伟固,
2605,132312,数学分析 (II)习题,数学科学学院,专业必修,5,0,1-16,星期三(第10节-第11节),李伟固,
2606,132332,高等代数（II）习题,数学科学学院,专业必修,5,0,1-16,星期四(第10节-第11节)(双),李文威,
2607,132512,高等数学A（二）,数学科学学院,专业必修,5,5,1-16,星期二(第1节-第2节) 星期四(第3节-第4节),童嘉骏,
2608,132712,高等数学A（二）习题,数学科学学院,专业必修,5,0,1-16,星期三(第10节-第11节),王冠香,
2609,132812,线性代数 A（ II ）习题,数学科学学院,专业必修,5,0,1-16,星期一(第10节-第11节)(双),丁一文,
2610,331762,数学分析 (二)习题课,工学院,专业必修,5,0,1-16,星期三(第10节-第11节),史一蓬,24级5班
2611,332300,工程流体力学,元培学院,专业必修,50,3,1-16,星期二(第3节-第4节) 星期四(第1节-第2节)(双),宋保方,
2612,430133,现代电子电路基础及实验 (二),物理学院,专业必修,5,2,1-16,星期一(第9节-第12节),郭强 任全胜,选课后第一周上课时间段到理科2号楼2259E上绪论大课
2613,431121,普通物理,环境科学与工程学院,专业必修,5,4,1-16,星期一(第1节-第2节) 星期三(第3节-第4节),李智焕,理教
2614,431132,普通物理 (I),地球与空间科学学院,专业必修,5,4,1-16,星期一(第3节-第4节) 星期三(第3节-第4节),王大勇,
2615,431142,热学,物理学院,专业必修,5,2,1-16,,,免修考试录入
2616,431143,电磁学,信息科学技术学院,专业必修,5,3,1-16,星期二(第3节-第4节) 星期四(第5节-第6节),尹建波,含习题课
2617,431149,光学讨论班,物理学院,专业必修,5,2,1-16,星期二(第7节-第8节),胡耀文,排讨论教室
2618,431254,热学习题课,物理学院,专业必修,5,0,1-16,星期一(第10节-第11节)(单),全海涛,
2619,431641,量子力学讨论班,物理学院,专业必修,5,2,1-16,星期一(第7节-第8节),赵鹏巍,排讨论教室
2620,431651,平衡态统计物理讨论班,物理学院,专业必修,5,2,1-16,星期四(第7节-第8节),宋志达,排讨论教室
2621,432119,数学物理方法习题课,物理学院,专业必修,5,0,1-16,星期二(第10节-第11节),张大新,
2622,432119,数学物理方法习题课,物理学院,专业必修,6,0,1-16,星期二(第10节-第11节),张大新,
2623,433327,近代物理实验 (I),物理学院,专业必修,5,3,1-16,星期三(第5节-第12节),张双全,开学前按pec.pku.edu.cn通知选实验
2624,433328,近代物理实验 (II),物理学院,专业必修,5,3,1-16,星期四(第5节-第12节),周路群,已修近(I)，按通知 pec.pku.edu.cn选实验
2625,433328,近代物理实验 (II),物理学院,专业必修,6,3,1-16,星期四(第5节-第12节),张双全,已修近(I)，按通知 pec.pku.edu.cn选实验
2626,437190,普通物理实验（2）,地球与空间科学学院,专业限选,5,3,1-16,星期一(第5节-第8节),王伟 李智,
2627,1030810,有机化学 (B),医学部教学办,专业必修,5,4,1-16,星期一(第3节-第4节) 星期四(第1节-第2节),许言,口腔12
2628,1032711,有机化学实验 (B),医学部教学办,专业必修,5,2,1-8,星期五(第3节-第9节),王婕妤,预12
2629,1035170,结构化学讨论班,化学与分子工程学院,专业必修,5,0,3-16,星期二(第10节-第11节)(单),阎云,模型课周六9:00-12:00
2630,1035180,定量分析化学,生命科学学院,专业必修,5,2,1-16,星期四(第1节-第2节),朱志伟,
2631,1231791,普通地质学讨论班,地球与空间科学学院,专业必修,4,0,1-16,星期三(第5节-第6节)(双),张志诚,
2632,1231881,地球系统演化讨论班,地球与空间科学学院,专业必修,4,0,1-16,星期三(第1节-第2节)(单),黄宝琦,
2633,1630060,发展心理学,心理与认知科学学院,专业必修,4,3,1-16,星期四(第1节-第2节)(双),,讨论班教室
2634,1630060,发展心理学,心理与认知科学学院,专业必修,5,3,1-16,星期四(第1节-第2节)(双),,讨论班教室
2635,2034432,古代汉语（下）,中国语言文学系,专业必修,5,5,1-16,星期三(第10节-第11节),雷瑭洵,小班课
2636,2330004,哲学导论讨论课,哲学系,专业必修,5,0,1-16,星期四(第10节-第10节),GREVESEBASTIAN,
2637,2330055,西方哲学（上）讨论课,哲学系,专业必修,4,0,1-16,星期二(第1节-第2节)(双),先刚,
2638,2330055,西方哲学（上）讨论课,哲学系,专业必修,5,0,1-16,星期二(第1节-第2节)(双),先刚,
2639,2330097,中国哲学（下）讨论课,哲学系,专业必修,5,0,1-16,星期五(第5节-第6节)(双),杨立华 王鑫,
2640,2330163,宗教学导论讨论课,哲学系,专业必修,5,0,1-16,星期三(第12节-第12节),吴飞,
2641,2332977,《理想国》讨论班,哲学系,通选课,5,0,1-16,星期四(第12节-第12节),吴增定,
2642,2533171,经济学原理(Ⅱ)讨论课,经济学院,专业必修,5,0,1-16,星期三(第11节-第11节),李博,
2643,2930112,刑法案例研习,法学院,专业限选,5,3,1-16,星期二(第7节-第8节),吴雨豪 车浩,小班讨论 勿选 改7-9
2644,2930167,民事诉讼案例研习,法学院,专业任选,5,3,1-16,星期二(第7节-第8节),刘哲玮 曹志勋,小班讨论 勿选 改7-9
2645,3033660,信息组织小班讨论课,信息管理系,专业必修,4,0,1-16,星期四(第5节-第6节)(双),张鹏翼,6个小班该课程为大班授课小班讨论形式。选此课必须同时选择信息组织理论
2646,3033660,信息组织小班讨论课,信息管理系,专业必修,5,0,1-16,星期四(第5节-第6节)(双),张鹏翼,6个小班该课程为大班授课小班讨论形式。选此课必须同时选择信息组织理论
2647,3835260,英语名著与电影,英语语言文学系,大学英语,5,2,1-16,星期三(第1节-第2节),于莹,文史楼304
2648,3835260,英语名著与电影,英语语言文学系,大学英语,6,2,1-16,星期三(第3节-第4节),于莹,文史楼304
2649,3835270,英语词汇与英美文化,英语语言文学系,大学英语,5,2,1-16,星期五(第3节-第4节),高彦梅,文史楼309
2650,3835543,英语阅读,英语语言文学系,大学英语,5,2,1-16,星期三(第1节-第2节),李淑静,文史楼309
2651,3835543,英语阅读,英语语言文学系,大学英语,6,2,1-16,星期三(第3节-第4节),李淑静,文史楼309
2652,3835544,学术英语写作,英语语言文学系,大学英语,5,2,1-16,星期四(第3节-第4节),方艳,
2653,3835552,英语听说,英语语言文学系,大学英语,5,2,1-16,星期一(第3节-第4节),闻钧,文史楼306
2654,3835730,美国文化概览,英语语言文学系,大学英语,5,2,1-16,星期四(第3节-第4节),马小琦 KAY SAWYER,
2655,3835780,批判性思维与学术写作,英语语言文学系,大学英语,5,2,1-16,星期四(第5节-第6节),张欢瑞,
2656,3835780,批判性思维与学术写作,英语语言文学系,大学英语,6,2,1-16,星期四(第7节-第8节),张欢瑞,
2657,3835860,英语公众演讲,英语语言文学系,大学英语,5,2,1-16,星期三(第7节-第8节),David Marshall 马小琦,
2658,3835950,高级英语口语,英语语言文学系,大学英语,5,2,1-16,星期四(第5节-第6节),马小琦 Karen Siggins,
2659,4031652,思想道德与法治,马克思主义学院,思想政治,5,3,1-16,星期三(第7节-第8节),钟启东,
2660,4031661,中国近现代史纲要,马克思主义学院,思想政治,5,3,1-16,星期二(第10节-第11节),赵诺,
2661,4031731,毛泽东思想和中国特色社会主义理论体系概论,马克思主义学院,思想政治,5,3,1-16,星期三(第7节-第8节),宋国兴 王聪聪 王倩,
2662,4031741,马克思主义基本原理,马克思主义学院,思想政治,5,3,1-16,星期二(第10节-第11节),刘军 魏波 贺大兴,
2663,4031762,习近平新时代中国特色社会主义思想概论,马克思主义学院,思想政治,5,3,1-16,星期二(第7节-第9节),王蔚 孙来斌,
2664,4130020,游泳,体育教研部,体育,5,1,1-16,星期一(第5节-第6节),张冰,男生班   邱德拔B2游泳馆
2665,4130020,游泳,体育教研部,体育,6,1,1-16,星期一(第7节-第8节),张冰,男生班   邱德拔B2游泳馆
2666,4130030,太极拳,体育教研部,体育,40,1,1-16,星期四(第5节-第6节),汪琳,男生班   邱德拔南三
2667,4130030,太极拳,体育教研部,体育,41,1,1-16,星期一(第1节-第2节),刘年硕,男生班  邱德拔南三
2668,4130030,太极拳,体育教研部,体育,42,1,1-16,星期一(第3节-第4节),刘年硕,男生班  邱德拔南三
2669,4130030,太极拳,体育教研部,体育,43,1,1-16,星期二(第1节-第2节),孟梓,男生班  邱德拔南三
2670,4130030,太极拳,体育教研部,体育,44,1,1-16,星期二(第3节-第4节),孟梓,男生班 邱德拔南三
2671,4130030,太极拳,体育教研部,体育,5,1,1-16,星期二(第5节-第6节),刘林青,男生班   五四跑廊
2672,4130030,太极拳,体育教研部,体育,6,1,1-16,星期二(第7节-第8节),刘林青,男生班   邱德拔北三
2673,4130040,健美操,体育教研部,体育,5,1,1-16,星期一(第5节-第6节),黄育,女生班  五四317
2674,4130050,乒乓球,体育教研部,体育,5,1,1-16,星期五(第3节-第4节),闵东旭,邱德拔140   自带球拍
2675,4130060,羽毛球,体育教研部,体育,5,1,1-16,星期二(第1节-第2节),欧阳泽蔓,邱德拔羽毛球场   自带球拍和球
2676,4130070,网球,体育教研部,体育,5,1,1-16,星期三(第5节-第6节),李玉新,二体  网球场
2677,4130090,篮球,体育教研部,体育,5,1,1-16,星期三(第5节-第6节),张戈,男生班  二体篮球场
2678,4130100,排球,体育教研部,体育,5,1,1-16,星期二(第1节-第2节),梁辰,一体  排球馆
2679,4130160,体适能,体育教研部,体育,5,1,1-16,星期三(第5节-第6节),赫忠慧,五四跑廊
2680,4130210,棒、垒球,体育教研部,体育,5,1,1-16,星期五(第1节-第2节),焦晨曦,一体
2681,4130290,击剑,体育教研部,体育,5,1,1-16,星期三(第3节-第4节),孙玉洁,邱德拔 B2击剑厅
2682,4130430,中华毽,体育教研部,体育,5,1,1-16,星期五(第3节-第4节),唐彦,一体
2683,4130550,国际象棋,体育教研部,体育,5,1,1-16,星期五(第1节-第2节),侯逸凡,
2684,4130630,汉字太极与养生课,体育教研部,体育,5,1,1-16,星期三(第5节-第6节),李朝斌,一体
2685,4830494,数据结构与算法上机,信息科学技术学院,理科生必修,5,0,1-16,星期三(第9节-第10节),宋国杰,C语言，7、8号机房
2686,4831420,数据结构与算法 (B),信息科学技术学院,理科生必修,5,3,1-16,星期二(第7节-第8节),宋国杰,连上3节，C语言，同时选04830494“数据结构与算法上机”5号班
2687,4831435,计算机实习,信息科学技术学院,文科生必修,5,0,1-16,星期三(第11节-第12节),刘扬,7号机房，“人工智能与计算思维”5班上机课
2688,4831750,程序设计实习,信息科学技术学院,专业必修,5,3,1-16,星期三(第3节-第4节) 星期五(第7节-第8节)(单),杨帅,与“程序设计实习（实验班）”、“软件设计实践”互斥
2689,4832580,算法设计与分析（研讨型小班）,信息科学技术学院,专业必修,5,0,1-16,星期五(第5节-第6节),蒋婷婷,小班会按照老师给的实际分班名单手动添加，冲突选课无法添加。
2690,4833790,电子学基础实验,信息科学技术学院,专业必修,5,2,1-16,,张诚,周四下午，理二2260
2691,4833800,电子系统基础训练,信息科学技术学院,专业必修,5,1,2-8,,杨延军,第2-8周周三晚上6:00-9:30理科2号楼2260
2692,4834040,人工智能引论,信息科学技术学院,专业必修,5,3,1-16,星期一(第5节-第6节) 星期四(第7节-第8节)(单),周嘉欢,与04835230“人工智能基础”互斥
2693,4834470,计算概论（C）,新闻与传播学院,文科生必修,5,3,1-16,星期二(第2节-第4节),马郓 陈沫,上课地点：五四体育中心五四教室
2694,4834472,人工智能与计算思维,信息科学技术学院,文科生必修,5,3,1-16,星期二(第5节-第6节),刘扬,课程方向“语言（中外文）计算信息管理”，同时选04831435“计算机实习”5
2695,4834472,人工智能与计算思维,信息科学技术学院,文科生必修,6,3,1-16,星期二(第5节-第6节),陆俊林 陈沫 纪晓璐,课程方向“新闻传播、国际关系和医学”，同时选04831435“计算机实习”6号
2696,4834611,数字电路与系统设计(小班课),信息科学技术学院,专业必修,5,0,1-16,星期二(第10节-第11节),毛新宇,
2697,4834671,集成电路器件讨论班,信息科学技术学院,专业必修,5,0,1-16,星期四(第10节-第11节),黄鹏,
2698,4834750,电子信息技术实践,信息科学技术学院,通选课,5,2,2-16,星期四(第10节-第12节),于民,理二2258内
2699,4835230,人工智能基础,信息科学技术学院,专业必修,5,3,1-16,星期一(第5节-第6节) 星期四(第7节-第8节)(单),李戈,与04834040“人工智能引论”互斥
2700,60730020,军事理论,学生工作部人民武装部,军事理论,5,2,1-16,星期四(第1节-第2节),王欣涛 张烨,
2701,130202,高等数学 (B) (二),数学科学学院,专业必修,6,5,1-16,星期二(第1节-第2节) 星期五(第3节-第4节),向圣权,
2702,130202,高等数学 (B) (二),数学科学学院,专业必修,7,5,1-16,星期二(第3节-第4节) 星期五(第1节-第2节),赖志坚,
2703,130212,高等数学 (B) (二)习题课,数学科学学院,专业必修,6,0,1-16,星期二(第10节-第11节),唐林,
2704,130212,高等数学 (B) (二)习题课,数学科学学院,专业必修,7,0,1-16,星期二(第10节-第11节),刘建明,
2705,131470,线性代数 (B)习题,数学科学学院,专业必修,6,0,1-16,星期一(第10节-第11节)(双),刘旭峰,
2706,132312,数学分析 (II)习题,数学科学学院,专业必修,6,0,1-16,星期三(第10节-第11节),李伟固,
2707,132332,高等代数（II）习题,数学科学学院,专业必修,6,0,1-16,星期四(第10节-第11节)(双),李文威,
2708,132332,高等代数（II）习题,数学科学学院,专业必修,7,0,1-16,星期四(第10节-第11节)(双),王福正,
2709,132512,高等数学A（二）,数学科学学院,专业必修,6,5,1-16,星期二(第1节-第2节) 星期四(第3节-第4节),孙万龙,
2710,132712,高等数学A（二）习题,数学科学学院,专业必修,6,0,1-16,星期三(第10节-第11节),王冠香,
2711,132712,高等数学A（二）习题,数学科学学院,专业必修,7,0,1-16,星期三(第10节-第11节),黄得,
2712,132812,线性代数 A（ II ）习题,数学科学学院,专业必修,6,0,1-16,星期一(第10节-第11节)(双),丁一文,
2713,132812,线性代数 A（ II ）习题,数学科学学院,专业必修,7,0,1-16,星期一(第10节-第11节)(双),谢羿,
2714,430133,现代电子电路基础及实验 (二),物理学院,专业必修,6,2,1-16,星期二(第5节-第8节),刘爱民 任全胜,选课后第一周上课时间段到理科2号楼2259E上绪论大课
2715,430133,现代电子电路基础及实验 (二),物理学院,专业必修,7,2,1-16,星期二(第5节-第8节),党安红 任全胜,选课后第一周上课时间段到理科2号楼2259E上绪论大课
